Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",0,3.93,Random House Canada,Hardcover,409,2018,2018,2023/07/17,2022/10/05,,,read,,,,1,0
25254413,Angst / Amok (German Edition),Stefan Zweig,"Zweig, Stefan",,"=""""","=""""",0,3.93,BookRix,Kindle Edition,52,2019,,,2017/07/17,,,read,,,,1,0
444555,Siddhartha,Hermann Hesse,"Hesse, Hermann",Massimo Mila,"=""884590184X""","=""9788845901843""",5,4.06,Adelphi,Paperback,156,1985,1922,2016/02/26,2016/02/26,,,read,,,,1,0
323141,L'enracinement,Simone Weil,"Weil, Simone",,"=""2070325636""","=""9782070325634""",0,4.03,Gallimard ,Pocket Book,384,1990,1949,,2021/12/19,2021,2021 (#13),read,,,,0,0
2352901,Cette lumière en nous : La vraie méditation,J. Krishnamurti,"Krishnamurti, J.",Colette Joyeux,"=""2253153877""","=""9782253153870""",0,4.37,Stock,Mass Market Paperback,183,2002,,,2021/12/19,2021,2021 (#12),read,,,,0,0
10608888,A Contribution to the Critique of Political Economy,Karl Marx,"Marx, Karl",,"=""""","=""2940023847726""",0,4.06,Charles H. Kerr,Nook,0,,1859,,2021/12/19,2021,2021 (#11),read,,,,0,0
1415049,Trois essais sur la théorie sexuelle,Sigmund Freud,"Freud, Sigmund",,"=""""","=""""",0,3.66,FOLIO,Mass Market Paperback,196,1989,1905,,2021/12/19,2021,2021 (#10),read,,,,0,0
16619,Democracy in America,Alexis de Tocqueville,"Tocqueville, Alexis de","Isaac Kramnick, Gerald Bevan","=""0140447601""","=""9780140447606""",0,4.04,Penguin Classics,Paperback,983,2003,1835,,2021/12/19,2021,2021 (#9),read,,,,0,0
16902,Walden,Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,"=""""","=""""",0,3.78,Princeton University Press,Paperback,352,2004,1854,,2021/12/19,2021,2021 (#8),read,,,,0,0
18736925,Capital in the Twenty First Century,Thomas Piketty,"Piketty, Thomas",Arthur Goldhammer,"=""067443000X""","=""9780674430006""",0,4.05,Belknap Press: An Imprint of Harvard University Press,Hardcover,685,2014,2013,,2021/12/19,2021,2021 (#7),read,,,,0,0
504760,Mémoires d'une jeune fille rangée,Simone de Beauvoir,"Beauvoir, Simone de",,"=""207036786X""","=""9782070367863""",0,4.12,Folio,Mass Market Paperback,503,1972,1958,,2021/12/19,2021,2021 (#6),read,,,,0,0
43877,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,"Sharma, Robin S.",,"=""0062515675""","=""9780062515674""",0,3.89,HarperOne,Paperback,208,1999,1996,,2021/12/19,2021,2021 (#5),read,,,,0,0
57998224,The Fate of Man in the Modern World,Nicolas Berdyaev,"Berdyaev, Nicolas",,"=""1773237950""","=""9781773237954""",0,3.00,Must Have Books,Paperback,132,2021,,,2021/12/19,2021,2021 (#4),read,,,,0,0
19358710,Karl Marx's Capital,Karl Marx,"Marx, Karl","Leon Trotsky, Otto Rühle","=""""","=""""",0,3.88,SAV,Kindle Edition,152,2012,1867,,2021/12/19,2021,2021 (#3),read,,,,0,0
30474,The Communist Manifesto,Karl Marx,"Marx, Karl","Friedrich Engels, Leon Trotsky, Samuel Moore, Erkin Özalp, Amanda Lee, Antonio Carlos Braga, Aldrin Alexander Evies, Oqtay Eloğlu","=""0140447571""","=""9780140447576""",3,3.64,Penguin Books,Paperback,288,2002,1848,,2016/01/17,2021,2021 (#2),read,,,,1,0
581526,In My Own Way: An Autobiography,Alan Watts,"Watts, Alan",,"=""1577315847""","=""9781577315841""",0,4.20,New World Library,Paperback,384,2007,1972,,2021/12/19,2021,2021 (#1),read,,,,1,0
1754466,"Le Crépuscule des idoles, suivi de Le cas Wagner",Friedrich Nietzsche,"Nietzsche, Friedrich",Henri Albert,"=""2080704214""","=""9782080704214""",0,3.79,GF Flammarion,Paperback,250,1993,,,2016/09/23,,,read,,,,1,0
857256,L'Illusion Comique,Pierre Corneille,"Corneille, Pierre",,"=""""","=""9782035867919""",0,3.46,Larousse,Paperback,173,2006,1636,2020/03/29,2019/05/03,,,read,,,,1,0
1805693,Les Raisins de la colère,John Steinbeck,"Steinbeck, John",Steinbeck,"=""2070360830""","=""9782070360833""",0,4.00,Gallimard,Mass Market Paperback,640,1972,1939,2020/03/29,2019/02/23,,,read,,,,1,0
289382,L'Ingénu,Voltaire,"Voltaire, Voltaire",,"=""2038715548""","=""9782038715545""",5,3.53,Editions Larousse,Mass Market Paperback,199,1995,1767,,2016/01/17,,,read,,,,1,0
